"state","city","longitud","latitude"
"MEXICO                      ","Huehuetoca","-9920859237","1982177042"
"MEXICO                      ","Hueypoxtla","-9907835204","1990710675"
"MEXICO                      ","Huixquilucan","-9935098500","1936001573"
"MEXICO                      ","Isidro Fabela","-9941523386","1955331153"
"MEXICO                      ","Ixtapaluca","-9889479583","1929550122"
"MEXICO                      ","Ixtapan de la Sal","-9967607860","1884038083"
"MEXICO                      ","Ixtapan del Oro","-10026907496","1926378004"
"MEXICO                      ","Ixtlahuaca","-9976707187","1957487885"
"MEXICO                      ","Xalatlaco","-9941886758","1917884122"
"MEXICO                      ","Jaltenco","-9909809035","1974700521"
"MEXICO                      ","Jilotepec","-9952496396","1997731400"
"MEXICO                      ","Jilotzingo","-9939651783","1953947968"
"MEXICO                      ","Jiquipilco","-9960900300","1955643630"
"MEXICO                      ","Jocotitlan","-9978882081","1971105484"
"MEXICO                      ","Joquicingo","-9953236159","1904680435"
"MEXICO                      ","Juchitepec","-9888016401","1910199613"
"MEXICO                      ","Lerma","-9955362902","1928687961"
"MEXICO                      ","Malinalco","-9949464942","1895455136"
"MEXICO                      ","Melchor Ocampo","-9914478280","1969384557"
"MEXICO                      ","Metepec","-9960746040","1926330744"
"MEXICO                      ","Mexicaltzingo","-9958744037","1921014779"
"MEXICO                      ","Naucalpan de Juarez","-9925662668","1951778671"
"MEXICO                      ","Nezahualcoyotl","-9906346507","1948484283"
"MEXICO                      ","Nextlalpan","-9907670745","1973859306"
"MEXICO                      ","Nicolas Romero","-9928112344","1960322403"
"MEXICO                      ","Nopaltepec","-9870978230","1977826700"
"MEXICO                      ","Ocoyoacac","-9945689777","1927572730"
"MEXICO                      ","Ocuilan","-9941907614","1897906526"
"MEXICO                      ","Otumba","-9876016842","1969870730"
"MEXICO                      ","Otzoloapan","-10029667878","1911704411"
"MEXICO                      ","Otzolotepec","-9956115105","1941612263"
"MEXICO                      ","Ozumba","-9879160135","1904737990"
"MEXICO                      ","Papalotla","-9886022342","1955609542"
"MEXICO                      ","Polotitlan","-9981765890","2022805870"
"MEXICO                      ","San Antonio la Isla","-9956712003","1915883837"
"MEXICO                      ","San Felipe del Progreso","-9995212818","1971619865"
"MEXICO                      ","San Martin de las Piramides","-9883565649","1970880781"
"MEXICO                      ","San Mateo Atenco","-9953062386","1928509756"
